CodCliente;DescCliente;CodPais;DDD;Fone;CodSexo;Email
46;Cliente 046;3;11;863321212;2;Cliente046@gmail.com
47;Cliente 047;3;44;66332214;2;Cliente047@gmail.com
48;Cliente 048;3;55;44556655;2;Cliente048@gmail.com
49;Cliente 049;3;41;21456699;1;Cliente049@gmail.com
50;Cliente 050;3;32;44556687;1;Cliente050@gmail.com
51;Cliente 051;3;66;33221144;1;Cliente051@gmail.com
52;Cliente 052;2;77;88997765;1;Cliente052@gmail.com
53;Cliente 053;2;33;21456699;1;Cliente053@gmail.com
54;Cliente 054;2;22;44556687;1;Cliente054@gmail.com
55;Cliente 055;2;11;33221144;1;Cliente055@gmail.com
56;Cliente 056;2;11;88997765;2;Cliente056@gmail.com
57;Cliente 057;2;11;55441122;2;Cliente057@gmail.com
58;Cliente 058;2;11;66887745;2;Cliente058@gmail.com
59;Cliente 059;2;33;987445251;2;Cliente059@gmail.com
60;Cliente 060;2;66;55221123;1;Cliente060@gmail.com
61;Cliente 061;2;11;77884455;1;Cliente061@gmail.com
62;Cliente 062;2;44;863321212;1;Cliente062@gmail.com
63;Cliente 063;1;55;66332214;1;Cliente063@gmail.com
64;Cliente 064;1;41;44556655;1;Cliente064@gmail.com
65;Cliente 065;1;32;21456699;1;Cliente065@gmail.com
66;Cliente 066;1;66;44556687;2;Cliente066@gmail.com
67;Cliente 067;1;77;33221144;2;Cliente067@gmail.com
68;Cliente 068;1;33;88997765;2;Cliente068@gmail.com
69;Cliente 069;1;22;21456699;2;Cliente069@gmail.com
70;Cliente 070;1;11;44556687;2;Cliente070@gmail.com
71;Cliente 071;1;11;33221144;2;Cliente071@gmail.com
72;Cliente 072;1;11;88997765;2;Cliente072@gmail.com
73;Cliente 073;1;11;55441122;2;Cliente073@gmail.com
74;Cliente 074;4;33;66887745;2;Cliente074@gmail.com
75;Cliente 075;4;66;987445251;2;Cliente075@gmail.com
76;Cliente 076;4;11;55221123;1;Cliente076@gmail.com
77;Cliente 077;4;44;77884455;1;Cliente077@gmail.com
78;Cliente 078;4;55;863321212;1;Cliente078@gmail.com
79;Cliente 079;4;41;66332214;1;Cliente079@gmail.com
80;Cliente 080;4;32;44556655;1;Cliente080@gmail.com
81;Cliente 081;4;66;21456699;1;Cliente081@gmail.com
82;Cliente 082;4;77;44556687;1;Cliente082@gmail.com
83;Cliente 083;4;33;33221144;2;Cliente083@gmail.com
84;Cliente 084;4;22;88997765;2;Cliente084@gmail.com
85;Cliente 085;4;11;21456699;2;Cliente085@gmail.com
86;Cliente 086;4;11;44556687;2;Cliente086@gmail.com
87;Cliente 087;4;11;33221144;1;Cliente087@gmail.com
88;Cliente 088;4;11;88997765;1;Cliente088@gmail.com
89;Cliente 089;4;33;55441122;1;Cliente089@gmail.com
90;Cliente 090;4;66;66887745;1;Cliente090@gmail.com
91;Cliente 091;4;11;987445251;1;Cliente091@gmail.com
92;Cliente 092;4;44;55221123;1;Cliente092@gmail.com
93;Cliente 093;4;55;77884455;2;Cliente093@gmail.com
94;Cliente 094;3;41;863321212;2;Cliente094@gmail.com
95;Cliente 095;3;32;66332214;2;Cliente095@gmail.com
96;Cliente 096;3;66;44556655;2;Cliente096@gmail.com
97;Cliente 097;3;77;21456699;2;Cliente097@gmail.com
98;Cliente 098;3;33;44556687;2;Cliente098@gmail.com
99;Cliente 099;3;22;33221144;2;Cliente099@gmail.com
100;Cliente 100;3;11;88997765;2;Cliente100@gmail.com
